original_name,canonical_name,num_similar
BIESALSKI GÜNTER,BIESALSKI GÜNTER,1
BIESWANGER GESITZGESELLSCHAFT,BIESWANGER GESITZGESELLSCHAFT,1
BILFINGER LIFE SCIENCE GMBH,BILFINGER LIFE SCIENCE GMBH,1
BINKERT GMBH HLS,BINKERT GMBH HLS,1
BIRGIT WEISSCHUH,BIRGIT WEISSCHUH,1
BIRK KG,BIRK KG,1
BIRKENMAIER + WENZLER GMBH,BIRKENMAIER + WENZLER GMBH,1
BISCHOF HEIZUNG,BISCHOF HEIZUNG,1
BLACKSTONE INDUSTRIE & GEBÄUDETECHNIK GMBH,BLACKSTONE INDUSTRIE & GEBÄUDETECHNIK GMBH,1
BLANK & SEEGERS KG,BLANK & SEEGERS KG,1
BLANK + SEEGERS KG,BLANK + SEEGERS KG,1
BLATTER BAUSTOFFHANDEL GMBH,BLATTER BAUSTOFFHANDEL GMBH,1
BLAZEVIC,BLAZEVIC,1
BLICKFÄNGER GMBH,BLICKFÄNGER GMBH,1
BLOCK GMBH,BLOCK GMBH,1
BLUMENBERG HEIZUNG SANITÄR,BLUMENBERG HEIZUNG SANITÄR,1
BM PROJECT S.A.R.L.,BM PROJECT S.A.R.L.,1
BOA METAL SOLUTIONS GMBH,BOA METAL SOLUTIONS GMBH,1
BODO RAUSCH,BODO RAUSCH,1
BOHNERT GMBH,BOHNERT GMBH,1
BOILER BERLIN SAUNA GMBH,BOILER BERLIN SAUNA GMBH,1
BOJO HEIZUNGSBAU & SANITÄR GMBH,BOJO HEIZUNGSBAU & SANITÄR GMBH,1
BORGERS GMBH,BORGERS GMBH,1
BORGMANN HAUSTECHNIK GMBH,BORGMANN HAUSTECHNIK GMBH,1
BOSCH THERMOTECHNIK GMBH,BOSCH THERMOTECHNIK GMBH,1
BOSCH THERMOTECHNOLOGY NV,BOSCH THERMOTECHNOLOGY NV,1
BOWIS INNOVATIVE HAUSTECHNIK GMBH,BOWIS INNOVATIVE HAUSTECHNIK GMBH,1
BOYKO KLEMPNER-INSTALLATIONS-HANDWERK,BOYKO KLEMPNER-INSTALLATIONS-HANDWERK,1
BRAACK ENERGIESYSTEME,BRAACK ENERGIESYSTEME,1
BRACKMANN GMBH,BRACKMANN GMBH,1
BRANDT & NÜSSEMEYER GMBH,BRANDT & NÜSSEMEYER GMBH,1
BRAUN UMWELT-ENERGIEBERATUNG,BRAUN UMWELT-ENERGIEBERATUNG,1
BREMERICH-IMMOBILIEN GMBH,BREMERICH-IMMOBILIEN GMBH,1
BROCHIER GEBÄUDETECHNIK MÜNCHEN GMBH,BROCHIER GEBÄUDETECHNIK MÜNCHEN GMBH,1
BROCKHAUS HEIZUNG & SANITÄR GMBH,BROCKHAUS HEIZUNG & SANITÄR GMBH,1
BROSCH HAUSTECHNIK,BROSCH HAUSTECHNIK,1
BROSIG & ENGELHARDT GMBH,BROSIG & ENGELHARDT GMBH,1
BRUNNER GMBH & CO. KG,BRUNNER GMBH & CO. KG,1
BRUNO SCHULZ BERLIN,BRUNO SCHULZ BERLIN,1
BRUNO WERNICKE SANITÄRTECHNIK,BRUNO WERNICKE SANITÄRTECHNIK,1
BRUSIS HEIZUNG-SANITÄR-KLIMA GMBH & CO. KG,BRUSIS HEIZUNG-SANITÄR-KLIMA GMBH & CO. KG,1
BRÄHLER & LAU SANITÄR- UND HEIZUNGSBAU GMBH,BRÄHLER & LAU SANITÄR- UND HEIZUNGSBAU GMBH,1
BRÖTJE HANDEL BREUER KG,BRÖTJE HANDEL BREUER KG,1
BRÜNING GMBH HEIZUNG-SANITÄR-SOLAR,BRÜNING GMBH HEIZUNG-SANITÄR-SOLAR,1
BUCH INGO,BUCH INGO,1
BUCHART SANITÄR - HEIZUNG,BUCHART SANITÄR - HEIZUNG,1
BUCHER KG,BUCHER KG,1
BUCHTER,BUCHTER,1
BUCK GMBH UMWELTORIENTIERTE HEIZUNGSTECHNIK,BUCK GMBH UMWELTORIENTIERTE HEIZUNGSTECHNIK,1
BUCKHORN GBR C/O OLDESLOER WOHNSTÄTTEN GMBH,BUCKHORN GBR C/O OLDESLOER WOHNSTÄTTEN GMBH,1
BUMMER HOF PLANUNGS-GMBH,BUMMER HOF PLANUNGS-GMBH,1
BUNDESANSTALT FÜR IMMOBILIENAUFGABEN,BUNDESANSTALT FÜR IMMOBILIENAUFGABEN,1
BURBIEL HEIZUNGS- UND SANITÄRTECHNIK GMBH & CO. KG,BURBIEL HEIZUNGS- UND SANITÄRTECHNIK GMBH & CO. KG,1
BURGER WÄRME GMBH,BURGER WÄRME GMBH,1
BUSAM GMBH,BUSAM GMBH,1
BUSCH GMBH,BUSCH GMBH,1
BUSCHMANN TECHNISCHE GEBÄUDEAUSRÜSTUNG GMBH & CO. KG,BUSCHMANN TECHNISCHE GEBÄUDEAUSRÜSTUNG GMBH & CO. KG,1
BZN BAUZENTRUM OLDENBURG GMBH & CO. KG,BZN BAUZENTRUM OLDENBURG GMBH & CO. KG,1
BÄCHLE HEIZUNGSBAU-SANITÄRTECHNIK,BÄCHLE HEIZUNGSBAU-SANITÄRTECHNIK,1
BÄDER + TECHNIK QUICKBORN GMBH,BÄDER + TECHNIK QUICKBORN GMBH,1
BÄDER UND HEIZUNGSPROFI SCHMALZL GMBH,BÄDER UND HEIZUNGSPROFI SCHMALZL GMBH,1
BÄDERTEAMWÜRZBURG GMBH,BÄDERTEAMWÜRZBURG GMBH,1
BÄR & OLLENROTH KG,BÄR & OLLENROTH KG,1
